rule,support,confidence,lift,insight
"{day_type=Weekday, distance_bin=10-20mi, fare_bin=$100-$140, source_borough=Manhattan, time_bin=Night} -> {destination_airport=EWR}",0.004198,0.914867,2.910753,Weekday night trips from Manhattan to EWR are typically in the $100-$140 fare range.
"{day_type=Weekend, distance_bin=10-20mi, fare_bin=$100-$140, source_borough=Manhattan, time_bin=Night} -> {destination_airport=EWR}",0.003626,0.835313,2.574897,Weekend night EWR trips from Manhattan remain concentrated in the $100-$140 fare band.
"{day_type=Weekday, distance_bin=5-10mi, fare_bin=$20-$40, payment_type=CreditCard, route_type=city_to_airport, source_borough=Manhattan, time_bin=Night} -> {destination_airport=LGA}",0.0015029154178466128,0.9996585501184404,88.68073927559304,Weekday night trips from Manhattan to LGA show a strong fare pattern in $20-$40.
"{day_type=Weekend, destination_airport=LGA, distance_bin=10-20mi, fare_bin=$40-$80, source_borough=Manhattan, time_bin=Night} -> {route_type=city_to_airport}",0.001422576835640351,1.0,47.30185045506352,Weekend night LGA travel is dominated by Manhattan routes with fares around $40-$80.
"{day_type=Weekday, distance_bin=2-5mi, time_bin=Morning} -> {fare_bin=$20-$40}",0.003817,0.859179,2.127089,Morning weekday trips are often short-to-medium distance with fares concentrated around $20-$40.
"{day_type=Weekday, destination_borough=Brooklyn, distance_bin=2-5mi, fare_bin=$20-$40, payment_type=CreditCard, route_type=city_to_city, time_bin=Night, tip_bin=NoTip} -> {source_borough=Brooklyn}",0.0015812968700550383,0.8591949514495406,72.16628181506685,"Night trips show a distinct weekday/weekend mix, where 2-5mi rides frequently map to $20-$40."
"{day_type=Weekday, distance_bin=5-10mi, fare_bin=$20-$40, payment_type=CreditCard, route_type=city_to_airport, source_borough=Manhattan, time_bin=Night, tip_bin=HighTip} -> {destination_airport=LGA}",0.0012206716048799658,0.9997635001970832,88.69004950513089,Trips in 5-10mi and $20-$40 bands are strongly linked with HighTip tipping behavior.
"{day_type=Weekday, distance_bin=0-2mi, time_bin=Night} -> {fare_bin=$80-$100}",0.002672,0.779626,1.735257,"A subset of short night rides still incur high fares, indicating premium or constrained routes."
"{day_type=Weekday, distance_bin=5-10mi, fare_bin=$20-$40, payment_type=Cash, route_type=airport_to_city, source_airport=JFK, time_bin=Night} -> {destination_borough=Queens}",0.0012608408959830966,0.8087672360568018,28.41171780139893,Weekday night trips in 5-10mi are more likely to be paid by cash.
"{day_type=Weekday, distance_bin=5-10mi, fare_bin=$40-$80, payment_type=CreditCard, route_type=city_to_airport, source_borough=Manhattan, time_bin=Night, tip_bin=HighTip} -> {destination_airport=LGA}",0.0013937653153443354,0.9992868973132131,88.64776957257044,Weekday night trips in 5-10mi are more likely to be paid by credit card.
